Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Image File
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H001,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_displays_a_black_short-sleeve.png
gold-money-brand-hoodie,Gold Money Brand Hoodie,<p>Premium hoodie from the Money Brand collection. Color: Gold.</p>,Money Brand,Apparel > Hoodie,Hoodie,"Money Brand,Hoodie,Gold",Size,One Size,MB-H002,0,shopify,0,deny,manual,195.00,,TRUE,TRUE,,,1,Gold Money Brand Hoodie,A_digital_photograph_displays_a_gold_hooded_sweats.png
multi-money-brand-belt,Multi Money Brand Belt,<p>Premium belt from the Money Brand collection. Color: Multi.</p>,Money Brand,Apparel > Belt,Belt,"Money Brand,Belt,Multi",Size,One Size,MB-H003,0,shopify,0,deny,manual,225.00,,TRUE,TRUE,,,1,Multi Money Brand Belt,A_digital_photograph_displays_a_luxury_belt_with_U.png
multi-money-brand-belt,Multi Money Brand Belt,<p>Premium belt from the Money Brand collection. Color: Multi.</p>,Money Brand,Apparel > Belt,Belt,"Money Brand,Belt,Multi",Size,One Size,MB-H004,0,shopify,0,deny,manual,225.00,,TRUE,TRUE,,,1,Multi Money Brand Belt,A_digital_photograph_displays_a_luxury_belt_with_a.png
multi-money-brand-belt,Multi Money Brand Belt,<p>Premium belt from the Money Brand collection. Color: Multi.</p>,Money Brand,Apparel > Belt,Belt,"Money Brand,Belt,Multi",Size,One Size,MB-H005,0,shopify,0,deny,manual,225.00,,TRUE,TRUE,,,1,Multi Money Brand Belt,A_digital_photograph_displays_a_luxury_belt_with_c.png
multi-money-brand-belt,Multi Money Brand Belt,<p>Premium belt from the Money Brand collection. Color: Multi.</p>,Money Brand,Apparel > Belt,Belt,"Money Brand,Belt,Multi",Size,One Size,MB-H006,0,shopify,0,deny,manual,225.00,,TRUE,TRUE,,,1,Multi Money Brand Belt,A_digital_photograph_features_a_belt_with_U.S._one.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H007,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_features_a_black_T-shirt_with.png
black-money-brand-cap,Black Money Brand Cap,<p>Premium cap from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Cap,Cap,"Money Brand,Cap,Black",Size,One Size,MB-H008,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,1,Black Money Brand Cap,A_digital_photograph_features_a_black_baseball_cap.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H009,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_features_a_black_crewneck_T-s.png
black-money-brand-hoodie,Black Money Brand Hoodie,<p>Premium hoodie from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Hoodie,Hoodie,"Money Brand,Hoodie,Black",Size,One Size,MB-H010,0,shopify,0,deny,manual,195.00,,TRUE,TRUE,,,1,Black Money Brand Hoodie,A_digital_photograph_features_a_black_hooded_sweat.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H011,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_features_a_black_short-sleeve.png
multi-money-brand-hoodie,Multi Money Brand Hoodie,<p>Premium hoodie from the Money Brand collection. Color: Multi.</p>,Money Brand,Apparel > Hoodie,Hoodie,"Money Brand,Hoodie,Multi",Size,One Size,MB-H012,0,shopify,0,deny,manual,195.00,,TRUE,TRUE,,,1,Multi Money Brand Hoodie,A_digital_photograph_features_a_crewneck_sweatshir.png
gold-money-brand-hoodie,Gold Money Brand Hoodie,<p>Premium hoodie from the Money Brand collection. Color: Gold.</p>,Money Brand,Apparel > Hoodie,Hoodie,"Money Brand,Hoodie,Gold",Size,One Size,MB-H013,0,shopify,0,deny,manual,195.00,,TRUE,TRUE,,,1,Gold Money Brand Hoodie,A_digital_photograph_features_a_gold_hooded_sweats.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H014,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_of_a_black_T-shirt_features_t.png
black-money-brand-cap,Black Money Brand Cap,<p>Premium cap from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Cap,Cap,"Money Brand,Cap,Black",Size,One Size,MB-H015,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,1,Black Money Brand Cap,A_digital_photograph_of_a_black_baseball_cap_showc.png
white-money-brand-tee,White Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: White.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,White",Size,One Size,MB-H016,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,White Money Brand Tee,A_digital_photograph_of_a_white_short-sleeved_crew.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H017,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_showcases_a_black_T-shirt_cen.png
black-money-brand-tee,Black Money Brand Tee,<p>Premium tee from the Money Brand collection. Color: Black.</p>,Money Brand,Apparel > Tee,Tee,"Money Brand,Tee,Black",Size,One Size,MB-H018,0,shopify,0,deny,manual,95.00,,TRUE,TRUE,,,1,Black Money Brand Tee,A_digital_photograph_showcases_a_black_T-shirt_wit.png
